Player,Cost,Pos,OFF,TEC,STA,DEF,POW,SPD,Total,Special Skills,Red Positions,Series
Evra,35,DF,757,838,895,923,832,792,5037,Chasing + Feint Dribble,LSB+LMF,NDS4 France (2015 Season2)
Matuidi,35,MF,788,776,992,888,752,845,5041,Chasing + Speed Dribble,DMF+OMF,NDS4 France (2015 Season2)
Schneiderlin,35,MF,763,784,987,912,795,770,5011,Stealth Pass + Chasing,DMF+RMF,NDS4 France (2015 Season2)
Giroud,34,FW,977,817,803,626,959,666,4848,Striker's Instinct + Unstoppable Header,CF,NDS4 France (2015 Season2)
Koscielny,33,DF,616,730,808,955,797,816,4722,Power Tackle + Aerial Duel,CB,NDS4 France (2015 Season2)
Payet,33,MF,929,881,780,653,687,802,4732,Long Ranger + Feint Dribble,LWG+RWG+OMF+LMF+RMF,NDS4 France (2015 Season2)
Varane,32,DF,559,699,684,971,928,760,4601,Power Tackle,CB,NDS4 France (2015 Season2)
Sissoko,31,MF,746,562,927,744,846,654,4479,Speedster,DMF+OMF+RMF,NDS4 France (2015 Season2)
Valbuena,31,FW,931,789,775,531,460,914,4400,Elegant Cross,RWG+RMF+OMF,NDS4 France (2015 Season2)
Ruffier,30,GK,484,879,560,942,861,712,4438,Shield of Iron,GK,NDS4 France (2015 Season2)
Sagna,30,DF,595,617,817,837,709,712,4287,Destroyer,RSB,NDS4 France (2015 Season2)
Jallet,29,DF,597,656,788,799,688,656,4184,Elegant Cross,RSB+RMF,NDS4 France (2015 Season2)
Trémoulinas,29,DF,740,643,795,642,613,724,4157,Elegant Cross,LSB+LMF,NDS4 France (2015 Season2)
Kondogbia,28,MF,684,608,779,670,731,597,4069,Power Tackle,DMF,NDS4 France (2015 Season2)
Sakho,26,DF,440,561,622,857,817,587,3884,Destroyer,CB,NDS4 France (2015 Season2)
Neuer,43,GK,812,1069,878,1214,1054,1044,6071,The Sentinel + Quick Save ,GK,NDS4 Germany (2015 Season2)
Müller,41,MF,1166,949,1016,760,955,924,5770,Striker's Instinct + Unstoppable Header,OMF+CF+RWG,NDS4 Germany (2015 Season2)
Reus,40,MF,1099,975,845,775,807,1112,5613,Long Ranger + Speed Dribble,LWG+LMF+OMF+RMF+RWG,NDS4 Germany (2015 Season2)
Kroos,40,MF,1089,1145,909,779,902,837,5661,Long Ranger + Stealth Pass,DMF+OMF,NDS4 Germany (2015 Season2)
Götze,40,FW,1110,1062,745,759,860,1081,5617,First Time Volley + Speedster,CF+LMF+OMF+RMF,NDS4 Germany (2015 Season2)
Hummels,38,DF,671,851,739,1110,1122,842,5335,Chasing + Aerial Duel,CB,NDS4 Germany (2015 Season2)
Özil,38,MF,1104,1122,744,672,666,1015,5323,Long Ranger + Stealth Pass,OMF+RMF+RWG,NDS4 Germany (2015 Season2)
Boateng,37,DF,803,819,767,950,932,1002,5273,Chasing + Frontline Feed,CB+RSB,NDS4 Germany (2015 Season2)
Schweinsteiger,37,MF,921,905,919,845,962,740,5292,Bullet Shot + Chasing,DMF+OMF+RMF,NDS4 Germany (2015 Season2)
Khedira,35,MF,830,758,975,848,999,616,5026,Stealth Pass + Chasing,DMF,NDS4 Germany (2015 Season2)
Gündoğan,35,MF,877,893,764,797,770,940,5041,Stealth Pass + Speed Dribble,DMF+OMF,NDS4 Germany (2015 Season2)
Schürrle,33,MF,1011,791,696,572,768,926,4764,Striker's Instinct + Speed Dribble,LMF+LWG+CF+RWG+RMF,NDS4 Germany (2015 Season2)
Bellarabi,32,MF,946,797,675,565,646,918,4547,Long Ranger,RMF+RWG,NDS4 Germany (2015 Season2)
Mustafi,31,DF,565,599,596,907,904,842,4413,Chasing,CB,NDS4 Germany (2015 Season2)
Podolski,31,MF,983,917,604,505,796,660,4465,Block Buster,LMF+LWG+CF,NDS4 Germany (2015 Season2)
Kruse,30,FW,897,738,678,528,739,698,4278,Block Buster,CF+OMF,NDS4 Germany (2015 Season2)
Rudy,29,MF,731,700,747,656,579,743,4156,Chasing,DMF+RMF+RSB,NDS4 Germany (2015 Season2)
Zieler,28,GK,494,816,542,867,767,605,4091,Shield of Iron,GK,NDS4 Germany (2015 Season2)
Rüdiger,27,DF,458,670,570,872,744,680,3994,Destroyer,CB,NDS4 Germany (2015 Season2)
Hector,26,DF,527,580,670,724,630,629,3760,Chasing,LSB,NDS4 Germany (2015 Season2)
Buffon,39,GK,674,1110,787,1159,1063,906,5699,The Sentinel + Quick Save,GK,NDS4 Italy (2015 Season2)
Marchisio,38,MF,906,898,976,893,845,889,5407,Block Buster + Stealth Pass,DMF+OMF,NDS4 Italy (2015 Season2)
Pirlo,37,MF,1044,1156,805,671,813,772,5261,Long Ranger + Frontline Feed,DMF+OMF,NDS4 Italy (2015 Season2)
Chiellini,36,DF,619,746,887,1088,1145,629,5114,Chasing + Aerial Duel,CB,NDS4 Italy (2015 Season2)
Verratti,36,MF,851,875,870,858,763,907,5124,Chasing + Frontline Feed,DMF+OMF,NDS4 Italy (2015 Season2)
Bonucci,35,DF,660,815,804,1007,966,742,4994,Tackle + Frontline Feed,CB,NDS4 Italy (2015 Season2)
Candreva,34,FW,951,825,952,669,696,786,4879,Early Cross + Speed Dribble,RWG+RMF+OMF,NDS4 Italy (2015 Season2)
Sirigu,33,GK,547,991,627,1035,950,787,4937,The Sentinel + Quick Save,GK,NDS4 Italy (2015 Season2)
El Shaarawy,33,FW,977,967,488,578,681,961,4652,Striker's Instinct + Speed Dribble,CF+LWG+LMF,NDS4 Italy (2015 Season2)
Immobile,33,FW,975,812,743,590,760,818,4698,Unstoppable Header + Speed Dribble,CF,NDS4 Italy (2015 Season2)
Bertolacci,32,MF,859,729,841,682,701,825,4637,Killer Pass,DMF+OMF,NDS4 Italy (2015 Season2)
Vázquez,32,FW,953,847,795,584,715,711,4605,Stealth Pass + Feint Dribble,CF+OMF,NDS4 Italy (2015 Season2)
Ranocchia,31,DF,532,690,742,951,872,659,4446,Flamboyant Feed,CB,NDS4 Italy (2015 Season2)
Parolo,31,MF,812,756,761,661,775,656,4421,Killer Pass,DMF+OMF,NDS4 Italy (2015 Season2)
Darmian,30,DF,689,702,763,754,694,741,4343,Destroyer,LSB+RSB+LMF+RMF,NDS4 Italy (2015 Season2)
De Sciglio,29,DF,677,639,738,721,661,753,4189,Elegant Cross,LSB+RSB,NDS4 Italy (2015 Season2)
Pelle,29,FW,909,650,682,482,912,539,4174,Unstoppable Header,CF,NDS4 Italy (2015 Season2)
Pasqual,28,DF,656,596,723,695,664,715,4049,Destroyer,LSB+LMF,NDS4 Italy (2015 Season2)
De Silvestri,27,DF,630,608,642,678,675,696,3929,Elegant Cross,RSB+RMF,NDS4 Italy (2015 Season2)
Soriano,26,MF,751,664,663,520,579,650,3827,Technician,DMF+OMF+LMF+LWG,NDS4 Italy (2015 Season2)
Robben,42,FW,1188,1154,717,789,903,1179,5930,Bullet Shot + Speed Dribble,CF+RWG+RMF,NDS4 Netherlands (2015 Season2)
Sneijder,37,MF,1031,1041,751,706,761,919,5209,Bullet Shot + Stealth Pass,LMF+OMF+RMF,NDS4 Netherlands (2015 Season2)
V. Persie,37,FW,1022,1000,788,734,965,769,5278,First Time Volley + Speed Dribble,CF+LWG,NDS4 Netherlands (2015 Season2)
Huntelaar,36,FW,1000,925,758,702,960,722,5067,Striker's Instinct + First Time Volley,CF,NDS4 Netherlands (2015 Season2)
Depay,35,FW,961,761,828,708,759,978,4995,Block Buster + Speed Dribble,LWG+RWG,NDS4 Netherlands (2015 Season2)
Blind,34,MF,806,808,910,791,721,747,4783,Stealth Pass + Tackle,DMF+LSB,NDS4 Netherlands (2015 Season2)
De Jong,34,MF,642,800,800,973,820,797,4832,Destroyer + Block,DMF,NDS4 Netherlands (2015 Season2)
Cillessen,33,GK,601,913,764,975,896,750,4899,The Sentinel + Quick Save,GK,NDS4 Netherlands (2015 Season2)
De Vrij,33,DF,631,724,753,957,960,747,4772,Chasing + Aerial Duel,CB,NDS4 Netherlands (2015 Season2)
Martins Indi,32,DF,664,631,720,840,988,658,4501,Destroyer,CB+LSB,NDS4 Netherlands (2015 Season2)
Wijnaldum,31,MF,844,808,773,641,631,806,4503,Speedster,OMF+RWG,NDS4 Netherlands (2015 Season2)
Van der Wiel,30,DF,730,696,754,724,714,763,4381,Elegant Cross,RSB,NDS4 Netherlands (2015 Season2)
Willems,30,DF,737,657,722,675,739,710,4240,Destroyer,LSB,NDS4 Netherlands (2015 Season2)
Dost,30,FW,855,571,783,561,914,618,4302,Unstoppable Header,CF,NDS4 Netherlands (2015 Season2)
Clasie,29,MF,640,642,656,737,745,713,4133,Killer Pass,DMF+OMF,NDS4 Netherlands (2015 Season2)
K. Vermeer,28,GK,473,747,589,855,772,697,4133,Shield of Iron,GK,NDS4 Netherlands (2015 Season2)
Afellay,28,MF,809,726,741,525,616,587,4004,Long Ranger,OMF+LMF+LWG,NDS4 Netherlands (2015 Season2)
Janmaat,27,DF,622,600,665,671,677,648,3883,Speedster,RSB,NDS4 Netherlands (2015 Season2)
Narsingh,27,FW,830,594,664,448,472,828,3836,Speedster,CF+RWG+OMF,NDS4 Netherlands (2015 Season2)
Bruma,26,DF,430,522,517,845,782,755,3851,Power Tackle,CB,NDS4 Netherlands (2015 Season2)
Ronaldo,44,FW,1214,1129,774,853,1077,1207,6254,Unstoppable Header + Pedalada Dribble,CF+LWG+LMF,NDS4 Portugal (2015 Season2)
J. Moutinho,36,MF,933,1074,935,756,596,779,5073,Stealth Pass + Feint Dribble,OMF+RMF+RWG,NDS4 Portugal (2015 Season2)
Pepe,35,DF,595,713,682,1052,1072,842,4956,Chasing + Aerial Duel,CB,NDS4 Portugal (2015 Season2)
Nani,35,FW,1043,840,693,604,737,1025,4942,Long Ranger + Speed Dribble,LWG+RWG+RMF,NDS4 Portugal (2015 Season2)
Tiago,34,MF,866,1062,791,755,726,677,4877,Stealth Pass + Frontline Feed,DMF+OMF,NDS4 Portugal (2015 Season2)
F. Coentrão,33,DF,771,777,899,787,661,788,4683,Early Cross + Chasing,LSB+LMF,NDS4 Portugal (2015 Season2)
Danny,33,FW,986,830,858,595,590,877,4736,Early Cross + Speed Dribble,LWG+LMF+OMF,NDS4 Portugal (2015 Season2)
Rui Patrício,32,GK,589,984,654,940,986,753,4906,Shield of Iron,GK,NDS4 Portugal (2015 Season2)
B. Alves,32,DF,535,625,655,979,940,822,4556,Power Tackle,CB,NDS4 Portugal (2015 Season2)
Quaresma,32,FW,950,830,766,586,584,880,4596,Speedster,RWG+RMF,NDS4 Portugal (2015 Season2)
R. Carvalho,31,DF,540,625,599,932,881,829,4406,Aerial Duel,CB,NDS4 Portugal (2015 Season2)
Vieirinha,31,FW,747,741,787,745,634,827,4481,Speedster,RWG+RMF+RSB,NDS4 Portugal (2015 Season2)
William,30,MF,673,662,753,738,778,637,4241,Destroyer,DMF,NDS4 Portugal (2015 Season2)
Éder,30,FW,930,679,714,521,699,826,4369,Technician,CF,NDS4 Portugal (2015 Season2)
Eliseu,29,DF,668,636,757,697,663,686,4107,Long Ranger,LSB+LMF+LWG,NDS4 Portugal (2015 Season2)
Beto,28,GK,405,950,534,934,740,732,4295,Shield of Iron,GK,NDS4 Portugal (2015 Season2)
Fonte,28,DF,464,548,633,895,891,635,4066,Destroyer,CB,NDS4 Portugal (2015 Season2)
Adrien S.,28,MF,829,817,519,492,514,793,3964,Elegant Cross,OMF,NDS4 Portugal (2015 Season2)
Bosingwa,27,DF,617,674,689,690,611,642,3923,Destroyer,RSB,NDS4 Portugal (2015 Season2)
Cédric,26,DF,550,638,688,683,543,610,3712,Chasing,RSB,NDS4 Portugal (2015 Season2)
Sergio Ramos,40,DF,756,940,932,1120,958,937,5643,Chasing + Aerial Duel,CB+RSB,NDS4 Spain (2015 Season2)
A. Iniesta,40,MF,1075,1149,955,798,726,907,5610,Long Ranger + Technician,LMF+OMF,NDS4 Spain (2015 Season2)
Fábregas,39,MF,1047,1091,980,810,853,783,5564,Stealth Pass + Chasing,DMF+OMF+CF,NDS4 Spain (2015 Season2)
Piqué,39,DF,763,1033,898,1092,1056,716,5558,Chasing + Flamboyant Feed,CB,NDS4 Spain (2015 Season2)
Silva,39,FW,1126,1101,772,706,717,1070,5492,Long Ranger + Stealth Pass,RWG+RMF+LMF+OMF,NDS4 Spain (2015 Season2)
Sergio,38,MF,766,976,1043,1024,882,671,5362,Tackle + Stealth Pass,DMF,NDS4 Spain (2015 Season2)
Koke,37,MF,933,1036,961,834,739,788,5291,Early Cross + Stealth Pass,OMF+RMF+LMF+DMF,NDS4 Spain (2015 Season2)
Isco,36,MF,1017,1023,844,678,677,857,5096,Long Ranger + Technician,OMF+LMF+LWG,NDS4 Spain (2015 Season2)
Pedro,36,FW,1011,956,790,702,686,979,5124,Striker's Instinct + Speed Dribble,RWG+CF+LWG,NDS4 Spain (2015 Season2)
Jordi Alba,35,DF,877,829,915,798,564,1031,5014,Chasing + Speed Dribble,LSB+LMF,NDS4 Spain (2015 Season2)
S. Cazorla ,35,MF,1008,1069,726,683,676,921,5083,Stealth Pass + Technician,LWG+LMF+OMF,NDS4 Spain (2015 Season2)
Morata,34,FW,978,791,740,619,789,881,4798,Striker's Instinct + First Time Volley,CF+LWG+LMF,NDS4 Spain (2015 Season2)
De Gea,33,GK,555,898,666,1032,797,881,4829,The Sentinel + Quick Save,GK,NDS4 Spain (2015 Season2)
Juanfran,33,DF,793,719,855,791,723,885,4766,Speed Dribble + Early Cross,RSB+RMF,NDS4 Spain (2015 Season2)
I. Casillas,32,GK,485,924,655,1020,783,682,4549,The Sentinel + Quick Save,GK,NDS4 Spain (2015 Season2)
Carvajal,31,DF,764,739,809,778,641,904,4635,Elegant Cross,RSB,NDS4 Spain (2015 Season2)
Bernat,30,DF,688,650,727,739,693,771,4268,Elegant Cross,LSB+LMF,NDS4 Spain (2015 Season2)
Nolito,30,FW,932,844,615,518,567,876,4352,Speedster,LWG+LMF,NDS4 Spain (2015 Season2)
Paco Alcácer,28,FW,859,725,661,498,591,747,4081,Striker's Instinct,CF,NDS4 Spain (2015 Season2)
Bartra,26,DF,420,550,556,851,765,675,3817,Destroyer,CB+RSB,NDS4 Spain (2015 Season2)
T. Silva,38,DF,637,840,863,1147,973,899,5359,Chasing + Frontline Feed,CB,NDS3 Brazil (2015 Season1)
Neymar Jr,38,FW,1112,1147,674,674,638,1117,5362,Striker's Instinct + Speedster,CF+LWG,NDS3 Brazil (2015 Season1)
Oscar,36,MF,1017,1036,774,600,674,926,5027,Stealth Pass + Speed Dribble,RWG+OMF+RMF,NDS3 Brazil (2015 Season1)
David Luiz,34,DF,847,851,731,759,851,794,4833,Stealth Pass + Frontline Feed,DMF+CB,NDS3 Brazil (2015 Season1)
Gustavo,34,MF,674,826,874,936,777,738,4825,Stealth Pass + Chasing,DMF+LSB,NDS3 Brazil (2015 Season1)
Willian,33,MF,974,796,822,578,499,984,4653,Killer Pass + Speedster,RWG+OMF+LMF+RMF,NDS3 Brazil (2015 Season1)
Miranda,32,DF,527,670,663,983,963,732,4538,Chasing + Aerial Duel,CB,NDS3 Brazil (2015 Season1)
Coutinho,31,MF,937,870,578,536,514,944,4379,Long Ranger + Speed Dribble,RWG+LWG+OMF,NDS3 Brazil (2015 Season1)
Maicon,30,DF,638,774,607,799,806,700,4324,Early Cross + Chasing,RSB,NDS3 Brazil (2015 Season1)
Kaka',30,MF,920,914,495,500,536,886,4251,Stealth Pass + Speed Dribble,OMF+LMF,NDS3 Brazil (2015 Season1)
L. Adriano,30,FW,960,773,745,471,630,745,4324,Striker's Instinct + Feint Dribble,CF,NDS3 Brazil (2015 Season1)
Diego Alves,29,GK,492,884,563,886,865,771,4461,Shield of Iron,GK,NDS3 Brazil (2015 Season1)
Danilo,29,DF,711,764,636,703,623,837,4274,Long Ranger,RSB,NDS3 Brazil (2015 Season1)
Filipe Luís,29,DF,592,603,884,816,547,844,4286,Destroyer,LSB,NDS3 Brazil (2015 Season1)
Fernandinho,29,MF,592,736,553,793,737,784,4195,Power Tackle,DMF,NDS3 Brazil (2015 Season1)
Ramires,29,MF,579,531,844,806,557,839,4156,Destroyer,RMF+DMF,NDS3 Brazil (2015 Season1)
D. Tardelli,28,FW,861,726,699,482,591,699,4058,Speedster,CF+OMF+LMF+RMF,NDS3 Brazil (2015 Season1)
Elias,27,MF,609,711,685,707,580,685,3977,Destroyer,DMF,NDS3 Brazil (2015 Season1)
Robinho,27,FW,889,817,400,391,544,766,3807,Technician,CF+OMF+LMF,NDS3 Brazil (2015 Season1)
Jefferson,25,GK,371,760,667,851,637,662,3948,The Sentinel,GK,NDS3 Brazil (2015 Season1)
Benzema,36,FW,1034,888,769,675,894,857,5117,Striker's Instinct + Stealth Pass,CF+LWG,NDS3 France (2015 Season1)
Pogba,35,MF,857,805,805,795,911,774,4947,Bullet Shot + Chasing,OMF+DMF,NDS3 France (2015 Season1)
Lloris,34,GK,557,996,754,1077,1095,847,5326,The Sentinel + Quick Save,GK,NDS3 France (2015 Season1)
Matuidi,33,MF,759,741,905,822,771,757,4755,Chasing + Speed Dribble,DMF+OMF,NDS3 France (2015 Season1)
Evra,32,DF,662,792,753,874,769,749,4599,Feint Dribble + Chasing,LSB+LMF,NDS3 France (2015 Season1)
Lacazette,32,FW,942,759,765,588,757,852,4663,Striker's Instinct + Speed Dribble,CF+RWG+RMF+LWG,NDS3 France (2015 Season1)
Griezmann,32,FW,954,788,694,578,705,924,4643,Striker's Instinct + Speed Dribble,LWG+LMF+OMF,NDS3 France (2015 Season1)
Mandanda,31,GK,452,921,507,1030,855,1015,4780,The Sentinel + Quick Save,GK,NDS3 France (2015 Season1)
Schneiderlin,31,MF,624,725,866,870,714,693,4492,Stealth Pass + Chasing,DMF+RMF,NDS3 France (2015 Season1)
Varane,29,DF,435,664,614,947,819,669,4148,Power Tackle,CB,NDS3 France (2015 Season1)
Cabaye,29,MF,852,754,743,534,638,638,4159,Technician,OMF+DMF,NDS3 France (2015 Season1)
Remy,29,FW,908,629,664,465,585,864,4115,Speedster,CF,NDS3 France (2015 Season1)
Mathieu,28,DF,505,589,532,825,902,648,4001,Power Tackle,CB+LSB,NDS3 France (2015 Season1)
Valbuena,28,FW,906,752,640,426,394,886,4004,Killer Pass,OMF+RMF+RWG,NDS3 France (2015 Season1)
Gignac,28,FW,898,695,632,432,742,592,3991,Striker's Instinct,CF,NDS3 France (2015 Season1)
Sagna,27,DF,536,573,723,761,685,625,3903,Destroyer,RSB,NDS3 France (2015 Season1)
Sissoko,27,MF,628,506,851,674,648,603,3910,Speed Dribble,RMF+OMF+DMF,NDS3 France (2015 Season1)
Jallet,26,DF,542,616,646,698,595,625,3722,Chasing,RSB+RMF,NDS3 France (2015 Season1)
Mangala,25,DF,367,483,431,830,787,719,3617,Aerial Duel,CB,NDS3 France (2015 Season1)
Digne,25,DF,495,524,726,695,488,631,3559,Early Cross,LSB,NDS3 France (2015 Season1)
Neuer,39,GK,655,1008,671,1196,1007,1003,5540,The Sentinel + Quick Save ,GK,NDS3 Germany (2015 Season1)
Müller,38,FW,1118,903,894,682,893,896,5386,Striker's Instinct + First Time Volley,CF+RWG+OMF+RMF,NDS3 Germany (2015 Season1)
Götze,37,MF,1084,1025,603,673,826,1047,5258,First Time Volley + Speed Dribble,LMF+OMF+LWG+CF,NDS3 Germany (2015 Season1)
Reus,37,MF,1026,934,674,702,785,1049,5170,Long Ranger + Speedster,OMF+LMF+RMF,NDS3 Germany (2015 Season1)
Kroos,37,MF,991,1114,784,780,836,795,5300,Stealth Pass + Chasing,OMF+DMF,NDS3 Germany (2015 Season1)
Hummels,35,DF,573,773,634,1076,1093,793,4942,Chasing + Aerial Duel,CB,NDS3 Germany (2015 Season1)
Boateng,34,DF,713,816,637,896,862,889,4813,Chasing + Frontline Feed,CB+RSB,NDS3 Germany (2015 Season1)
Khedira,33,MF,763,721,846,812,972,600,4714,Stealth Pass + Chasing,DMF,NDS3 Germany (2015 Season1)
Schürrle            ,32,FW,968,760,603,536,721,920,4508,Striker's Instinct + Speed Dribble,LWG+RWG+LMF+RMF,NDS3 Germany (2015 Season1)
Höwedes,31,DF,639,681,681,843,896,702,4442,Chasing + Aerial Duel,CB+LSB+RSB,NDS3 Germany (2015 Season1)
Weidenfeller,29,GK,462,896,571,936,893,708,4466,Shield of Iron,GK,NDS3 Germany (2015 Season1)
Bellarabi,29,MF,900,761,589,509,620,867,4246,Speedster,RWG+RMF,NDS3 Germany (2015 Season1)
Podolski,29,FW,936,882,531,460,746,658,4213,Block Buster,CF+LWG+LMF,NDS3 Germany (2015 Season1)
Mustafi,28,DF,473,574,489,857,863,774,4030,Power Tackle,CB,NDS3 Germany (2015 Season1)
Durm,28,DF,634,500,593,693,547,896,3963,Destroyer,LSB+RSB,NDS3 Germany (2015 Season1)
Draxler,28,MF,897,789,554,438,623,756,4057,Long Ranger,OMF+LMF+RMF,NDS3 Germany (2015 Season1)
Großkreutz,28,DF,601,623,726,732,462,869,4013,Elegant Cross,LMF+LSB+RSB,NDS3 Germany (2015 Season1)
Kramer,27,MF,647,721,711,640,674,536,3929,Destroyer,DMF,NDS3 Germany (2015 Season1)
Rudy,26,MF,638,671,646,603,547,646,3751,Power Tackle,DMF+RMF+RSB,NDS3 Germany (2015 Season1)
Rüdiger,25,DF,370,649,620,819,530,631,3619,Destroyer,CB,NDS3 Germany (2015 Season1)
Robben,39,FW,1136,1099,685,562,821,1157,5460,Bullet Shot + Speed Dribble,CF+RWG+RMF,NDS3 Netherlands (2015 Season1)
V. Persie,35,FW,1006,963,654,687,926,735,4971,First Time Volley + Speed Dribble,CF+LWG,NDS3 Netherlands (2015 Season1)
Sneijder,34,MF,996,997,561,603,747,862,4766,Bullet Shot + Stealth Pass,LWG+LMF+OMF,NDS3 Netherlands (2015 Season1)
Huntelaar,33,FW,974,875,590,640,903,674,4656,Striker's Instinct + Unstoppable Header,CF,NDS3 Netherlands (2015 Season1)
De Jong,32,MF,574,774,700,937,793,739,4517,Destroyer + Block,DMF,NDS3 Netherlands (2015 Season1)
Memphis,31,FW,924,715,623,540,648,947,4397,Block Buster + Speed Dribble,LWG+RWG,NDS3 Netherlands (2015 Season1)
